#   index   ;    x_undf  ;    y_undf  ;    z_undf  ;    ux      ;    uy      ;    uz      ;    eps_x   ;    eps_y   ;    eps_xy  ;    eps_eqv ;    s_x     ;    s_y     ;    s_xy    
   74.000000;   40.000000;   -0.500000;    0.000000;   -0.035501;    0.112819;    0.000000;   -0.072070;    0.812291;    0.001309;    0.865615;  158.354557;  637.106491;   70.842254
   75.000000;   40.000000;   -1.000000;    0.000000;   -0.033101;    0.109687;    0.000000;   -0.091920;    0.543743;    0.001617;    0.585759;   70.711678;  414.830139;   87.532073
   76.000000;   40.000000;   -1.500000;    0.000000;   -0.031243;    0.107382;    0.000000;   -0.097865;    0.424108;    0.001505;    0.466458;   34.009136;  316.580780;   81.461900
   77.000000;   40.000000;   -2.000000;    0.000000;   -0.029699;    0.105446;    0.000000;   -0.097777;    0.364398;    0.001392;    0.406109;   18.158553;  268.358604;   75.362041
   78.000000;   40.000000;   -2.500000;    0.000000;   -0.028360;    0.103738;    0.000000;   -0.096700;    0.325808;    0.001295;    0.366535;    8.739730;  237.465538;   70.099564
   79.000000;   40.000000;   -3.000000;    0.000000;   -0.027170;    0.102188;    0.000000;   -0.095315;    0.298293;    0.001214;    0.337955;    2.522417;  215.603340;   65.729124
   80.000000;   40.000000;   -3.500000;    0.000000;   -0.026094;    0.100755;    0.000000;   -0.093897;    0.277336;    0.001147;    0.315969;   -1.919972;  199.048016;   62.072902
   81.000000;   40.000000;   -4.000000;    0.000000;   -0.025111;    0.099414;    0.000000;   -0.092516;    0.260677;    0.001089;    0.298352;   -5.245672;  185.956493;   58.975471
   82.000000;   40.000000;   -4.500000;    0.000000;   -0.024203;    0.098148;    0.000000;   -0.091191;    0.247016;    0.001040;    0.283807;   -7.817769;  175.271332;   56.315247
   83.000000;   40.000000;   -5.000000;    0.000000;   -0.023360;    0.096944;    0.000000;   -0.089923;    0.235543;    0.000998;    0.271522;   -9.852374;  166.339497;   54.001213
   84.000000;   40.000000;   -5.500000;    0.000000;   -0.022573;    0.095793;    0.000000;   -0.088707;    0.225726;    0.000960;    0.260954;  -11.487672;  158.731960;   51.965122
   85.000000;   40.000000;   -6.000000;    0.000000;   -0.021833;    0.094687;    0.000000;   -0.087538;    0.217199;    0.000926;    0.251729;  -12.816627;  152.153801;   50.155312
   86.000000;   40.000000;   -6.500000;    0.000000;   -0.021137;    0.093621;    0.000000;   -0.086409;    0.209699;    0.000896;    0.243575;  -13.904411;  146.394699;   48.532166
   87.000000;   40.000000;   -7.000000;    0.000000;   -0.020479;    0.092590;    0.000000;   -0.085316;    0.203033;    0.000869;    0.236294;  -14.798236;  141.300201;   47.064911
   88.000000;   40.000000;   -7.500000;    0.000000;   -0.019855;    0.091591;    0.000000;   -0.084253;    0.197056;    0.000845;    0.229734;  -15.533200;  136.754093;   45.729363
   89.000000;   40.000000;   -8.000000;    0.000000;   -0.019262;    0.090620;    0.000000;   -0.083217;    0.191656;    0.000822;    0.223779;  -16.135916;  132.667267;   44.506333
   90.000000;   40.000000;   -8.500000;    0.000000;   -0.018697;    0.089674;    0.000000;   -0.082204;    0.186746;    0.000801;    0.218338;  -16.626794;  128.970449;   43.380516
   91.000000;   40.000000;   -9.000000;    0.000000;   -0.018159;    0.088752;    0.000000;   -0.081212;    0.182259;    0.000782;    0.213340;  -17.021454;  125.609596;   42.339712
   92.000000;   40.000000;   -9.500000;    0.000000;   -0.017644;    0.087851;    0.000000;   -0.080237;    0.178143;    0.000764;    0.208730;  -17.331417;  122.543436;   41.374375
